Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,thscode,thsname_cn,thsname_en,currency
2025-07-07T04:00:00.000Z,212.0347627656,215.5739957956,208.1665442787,209.3130493164,50229000,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-07-08T04:00:00.000Z,209.4625870227,210.7885385697,207.817583804,209.3728485107,42848900,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-07-09T04:00:00.000Z,208.894319291,210.6888614301,206.5913298843,210.4994354248,48749400,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-07-10T04:00:00.000Z,209.87133445,212.8323250717,209.3927949674,211.7655792236,44443600,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-07-11T04:00:00.000Z,209.9311722768,211.4864370574,209.2233196075,210.5193786621,39765800,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-07-14T04:00:00.000Z,209.293083689,210.2701214089,206.9103353456,207.9870605469,38840100,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-07-15T04:00:00.000Z,208.5852528192,211.2471505338,208.2861599407,208.4755859375,42296300,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-07-16T04:00:00.000Z,209.6619745483,211.7555942375,208.007007166,209.5223999023,47490500,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-07-17T04:00:00.000Z,209.9311621646,211.1574262267,208.9541244188,209.3828277588,48068100,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-07-18T04:00:00.000Z,210.2302495646,211.1474566075,209.0638009814,210.5393066406,48974600,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-07-21T04:00:00.000Z,211.4565208836,215.1253489161,210.9879455885,211.835357666,51377400,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-07-22T04:00:00.000Z,212.4933551609,214.2978613782,211.5861123537,213.7495269775,46404100,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-07-23T04:00:00.000Z,214.3477172096,214.4972560435,211.7655785928,213.500289917,46989300,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-07-24T04:00:00.000Z,213.2510553667,215.0356333106,212.8821827558,213.1114807129,46022600,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-07-25T04:00:00.000Z,214.0486138926,214.5869840936,212.7525549487,213.2311096191,40268800,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-07-28T04:00:00.000Z,213.3806759232,214.1981955144,212.4136174861,213.4006195068,37858000,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-07-29T04:00:00.000Z,213.5302035252,214.1582970702,210.1804118524,210.6290435791,51411700,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-07-30T04:00:00.000Z,211.2571312801,211.7456501936,207.0898198743,208.4157867432,45512500,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-07-31T04:00:00.000Z,207.8574688325,209.2033639475,206.5315020865,206.9402618408,80698400,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-08-01T04:00:00.000Z,210.2302390185,212.9320238736,200.8886714238,201.7660064697,104434500,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-08-04T04:00:00.000Z,203.8895472058,207.2493335638,201.0681311018,202.7330780029,75109300,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-08-05T04:00:00.000Z,202.7829065526,204.7170232959,201.5466782764,202.3043670654,44155100,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-08-06T04:00:00.000Z,205.0061502968,214.7265700699,204.9662631326,212.6030273438,108483100,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-08-07T04:00:00.000Z,218.2159523061,220.1799768074,215.9229271551,219.3624572754,90224800,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-08-08T04:00:00.000Z,220.1600196078,230.2991627393,218.5848113878,228.6541748047,113854000,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-08-11T04:00:00.000Z,227.4864004322,229.1232798674,224.332408399,226.7478027344,61806100,0.26,0.0,AAPL,苹果,Apple Inc.,USD
2025-08-12T04:00:00.000Z,227.5762248182,230.3609256084,226.6380258816,229.213104248,55626200,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-08-13T04:00:00.000Z,230.6304284785,234.5529448848,229.9916313697,232.8861236572,69878500,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-08-14T04:00:00.000Z,233.6147219133,234.6727029329,230.4108371446,232.3371582031,51916300,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-08-15T04:00:00.000Z,233.5548328768,233.8342989798,228.9036945156,231.1494140625,56038700,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-08-18T04:00:00.000Z,231.2592165267,232.6765133258,229.672244959,230.4507598877,37476200,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-08-19T04:00:00.000Z,230.8400151681,232.4269867208,228.9136940816,230.121383667,39402600,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-08-20T04:00:00.000Z,229.5424810259,230.031554331,225.3404986725,225.5800323486,42263900,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-08-21T04:00:00.000Z,225.8395568304,226.0890812399,223.3542882288,224.47215271,30621200,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-08-22T04:00:00.000Z,225.7397343895,228.6541775801,224.9811856894,227.3267059326,42477800,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-08-25T04:00:00.000Z,226.0491299814,228.8637723967,225.7996055927,226.7278442383,30983100,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-08-26T04:00:00.000Z,226.4384033954,229.0534295301,224.2625578824,228.8737640381,54575100,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-08-27T04:00:00.000Z,228.175100507,230.4607373856,227.8257602435,230.0515289307,31259500,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-08-28T04:00:00.000Z,230.3809040857,232.9659733126,228.9037086162,232.1175842285,38074700,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-08-29T04:00:00.000Z,232.0676707603,232.9360260407,230.9298400894,231.6983795166,39418400,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-09-02T04:00:00.000Z,228.813882396,230.4108447009,226.5382210108,229.282989502,44075600,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-09-03T04:00:00.000Z,236.7587446367,238.3956241346,233.9141603098,238.0163421631,66427800,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-09-04T04:00:00.000Z,237.9963656671,239.4436041167,236.2896273285,239.3238372803,47549400,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-09-05T04:00:00.000Z,239.5434165987,240.8609127003,238.036294752,239.2340087891,54870400,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-09-08T04:00:00.000Z,238.8447564678,239.6931302819,235.8903808987,237.4274597168,48999500,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-09-09T04:00:00.000Z,236.5491273093,238.3257397897,232.9160527142,233.9041748047,66313900,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-09-10T04:00:00.000Z,231.7482872752,231.9778454619,225.5201526853,226.3585510254,83440800,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-09-11T04:00:00.000Z,226.4483905888,230.0115911363,226.2188171731,229.5923919678,50208600,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-09-12T04:00:00.000Z,228.7839306821,234.0638602294,228.5843142101,233.624710083,55824200,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-09-15T04:00:00.000Z,236.549127145,237.7368657054,234.5828736884,236.2496948242,42699500,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-09-16T04:00:00.000Z,236.7287892681,240.7611122338,235.8704399244,237.6969451904,63421100,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-09-17T04:00:00.000Z,238.5153883976,239.6432435767,237.2777418717,238.5353546143,46508000,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-09-18T04:00:00.000Z,239.5134800259,240.741135798,236.199788715,237.4274597168,44249600,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-09-19T04:00:00.000Z,240.7710779996,245.8314401044,239.7530294206,245.0329589844,163741300,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-09-22T04:00:00.000Z,247.8276363581,256.1517818909,247.6479708711,255.5928192139,105517400,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-09-23T04:00:00.000Z,255.3932223521,256.8504363399,253.0975947939,253.9459686279,60275200,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-09-24T04:00:00.000Z,254.7344694885,255.2534845024,250.5624136207,251.8300018311,42303700,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-09-25T04:00:00.000Z,252.7282916184,256.6807646845,251.231145268,256.3813171387,55202100,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-09-26T04:00:00.000Z,253.6166009653,257.1099424925,253.2972024297,254.9740142822,46076300,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-09-29T04:00:00.000Z,254.0757261913,254.5148915782,252.5286718436,253.9459686279,40127700,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-09-30T04:00:00.000Z,254.3751575513,255.4331385813,252.6284867334,254.1455993652,37704300,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-10-01T04:00:00.000Z,254.5548113531,258.2976926733,254.4450200053,254.9640350342,48713900,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-10-02T04:00:00.000Z,256.0918666719,257.6888289105,253.6664968344,256.640838623,42630200,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-10-03T04:00:00.000Z,254.1855263027,258.7468246366,253.4668947774,257.5291442871,49155600,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-10-06T04:00:00.000Z,257.4991747753,258.5771371766,254.5647807987,256.2016601562,44664100,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-10-07T04:00:00.000Z,256.3214547692,256.9103287269,254.9440751402,255.9920959473,31955800,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-10-08T04:00:00.000Z,256.0320127996,258.0282082134,255.6227890847,257.5690917969,36496900,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-10-09T04:00:00.000Z,257.3195337883,257.5091747646,252.6584199331,253.5567016602,38322000,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-10-10T04:00:00.000Z,254.4550078502,255.8922708494,243.5358175291,244.8034057617,61999100,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-10-13T04:00:00.000Z,248.9055871418,249.2149949645,245.0928469569,247.1888580322,38142900,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-10-14T04:00:00.000Z,246.1308726626,248.3765922481,244.234478097,247.2986450195,35478000,0.0,0.0,AAPL,苹果,Apple Inc.,USD
